CustGroup,Customer,CustomerName,TransactionDate,InvoiceDescription,DetailLineCount,AmountDue,OriginalAmount,Tax,CollectedCheckDate,CollectedCheckNumber,CollectedCheckAmount,CollectedImage,Notes
1,211389,Microsoft Corporation    ,41697,PO# 95833992        ,4,20810.24,20810.24,1976.98,41795.67089,5007,20810.24,Images\AR_1_211389_5007.pdf,
1,212715,PCL Construction Services,41709,FEBRUARY BILLING    ,4,49432.3,52034,4943.24,41795.67089,4066,49432.3,Images\AR_1_212715_4066.pdf,
1,212715,PCL Construction Services,41698,FEB BILLING         ,6,169487.6,178408,16948.76,41795.67089,4308,169487.6,Images\AR_1_212715_4308.pdf,
1,207343,Holland America Cruise Li,41704,MARCH BILLING       ,4,9376,9376,890.72,41795.67089,3434,9376,Images\AR_1_207343_3434.pdf,
1,212715,PCL Construction Services,41708,FEBRUARY BILLING    ,4,119257.38,126374,12005.54,41795.67089,1387,119257.38,Images\AR_1_212715_1387.pdf,
1,210607,McKinstry Essention Inc  ,41715,MARCH BILLING       ,4,51330.55,52962.5,11.83,41795.67089,7503,51330.55,Images\AR_1_210607_7503.pdf,
1,219202,Yahoo                    ,41716,MARCH BILLING       ,4,49296,50000,3950,41795.67089,1515,49296,Images\AR_1_219202_1515.pdf,
1,219487,Mid Mountain Process Oven,41726,MAR BILLING W/ TAX  ,4,272242.64,278980,23992.28,41795.67089,1393,272242.64,Images\AR_1_219487_1393.pdf,
1,219487,Mid Mountain Process Oven,41727,MAR BILLING         ,4,276520,278980,24550.24,41795.67089,1916,276520,Images\AR_1_219487_1916.pdf,
1,210607,McKinstry Essention Inc  ,41723,MARCH BILLING       ,4,19521.91,20222.73,52.89,41795.67089,4999,19521.91,Images\AR_1_210607_4999.pdf,
1,211389,Microsoft Corporation    ,41723,PO# 95833992        ,4,21850.76,21850.76,2075.82,41795.67089,2338,21850.76,Images\AR_1_211389_2338.pdf,
1,211389,Microsoft Corporation    ,41723,PO# 95860884        ,4,21270.02,24887.76,2364.34,41795.67089,3197,21270.02,Images\AR_1_211389_3197.pdf,
1,214224,Real Estate & Facilities ,41723,PO# 96110865        ,4,6868,7288,692.36,41795.67089,537,6868,Images\AR_1_214224_537.pdf,
1,214224,Real Estate & Facilities ,41723,PO# 96141111        ,4,7034,7404,703.38,41795.67089,9658,7034,Images\AR_1_214224_9658.pdf,
1,211389,Microsoft Corporation    ,41723,PO# 96166748        ,4,490321,492172,38881.58,41795.67089,4144,490321,Images\AR_1_211389_4144.pdf,
1,211389,Microsoft Corporation    ,41723,PO# 96098955        ,4,92844.46,93208,7363.44,41795.67089,7354,92844.46,Images\AR_1_211389_7354.pdf,
1,211389,Microsoft Corporation    ,41723,PO# 96175015        ,4,8201.42,9916,783.36,41795.67089,5847,8201.42,Images\AR_1_211389_5847.pdf,
1,211389,Microsoft Corporation    ,41723,PO# 96189166        ,4,23904.66,25318,2000.12,41795.67089,1369,23904.66,Images\AR_1_211389_1369.pdf,
1,211389,Microsoft Corporation    ,41723,PO# 96191232        ,4,7492.68,8442,666.92,41795.67089,5989,7492.68,Images\AR_1_211389_5989.pdf,
1,211389,Microsoft Corporation    ,41723,PO# 96098715        ,4,31374.54,32888,2598.16,41795.67089,3096,31374.54,Images\AR_1_211389_3096.pdf,
1,219202,Yahoo                    ,41727,MAR BILLING         ,4,10156.7,9028,713.22,41795.67089,8029,10156.7,Images\AR_1_219202_8029.pdf,
1,219202,Yahoo                    ,41726,MAR BILLING         ,4,23888.52,24684.52,1950.08,41795.67089,5491,23888.52,Images\AR_1_219202_5491.pdf,
1,217555,USA Real Estate Fund 1 In,40962,FEB BILLING         ,4,1120,1120,90.72,41795.67089,6934,1120,Images\AR_1_217555_6934.pdf,
1,217687,Urban Renaissance Propert,41388,APRIL BILLING       ,2,12506.16,72000,6840,41795.67089,7724,12506.16,Images\AR_1_217687_7724.pdf,
1,212151,Northwest Venture Associa,41397,COPIES              ,3,34350,314104.28,0.87,41795.67089,8214,34350,Images\AR_1_212151_8214.pdf,
1,207042,Greencupboards           ,41488,SUPPORT             ,2,13497.39,30,2.61,41795.67089,5361,13497.39,Images\AR_1_207042_5361.pdf,
