"RecordType"|"Company"|"Number"|"VendorGroup"|"Vendor"|"VendorName"|"TransactionDate"|"JCCo"|"Job"|"JobDescription"|"Description"|"DetailLineCount"|"TotalOrigCost"|"TotalOrigTax"|"RemainingAmount"|"RemainingTax"
"PO"|"1"|"1-13058019"|"1"|"50867"|"COMMERCIAL FILTER SALES"|"2/27/2013 12:00:00 AM"|"1"|" 11285-001"|"LA FITNESS"|"MISC ITEMS                    "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13058094"|"1"|"54566"|"METAL MASTERS INC"|"2/27/2013 12:00:00 AM"|"1"|" 11377-001"|"Big Lots #4512"|"SUBCONTRACTS                  "|"1"|"2232.00"|"0.00"|"44.00"|"0.00"
"PO"|"1"|"1-13059078"|"1"|"52497"|"SEATTLE FLUID SYSTEM TECH"|"2/28/2013 12:00:00 AM"|"1"|"  1056-001"|"UW MED PH 3.1"|"PLUMBING MATERIALS            "|"1"|"5.36"|"0.00"|"5.36"|"0.00"
"PO"|"1"|"1-13059093"|"1"|"51730"|"MCGUIRE BEARING CO-SEA"|"2/28/2013 12:00:00 AM"|"1"|" 10857-001"|"Kirkland 405 Office"|"MISC ITEMS                    "|"1"|"183.50"|"0.00"|"183.50"|"0.00"
"PO"|"1"|"1-13070032"|"1"|"52648"|"STAR RENTALS"|"3/11/2013 12:00:00 AM"|"1"|"  1820-001"|"PO#0130582"|"RENTALS                       "|"1"|"469.10"|"0.00"|"156.37"|"0.00"
"PO"|"1"|"1-13070036"|"1"|"52668"|"STONEWAY ELECTRIC SUPPLY"|"3/11/2013 12:00:00 AM"|"1"|" 13726-001"|"MCKFM FIRESIDE GRILL"|"ELECTRICAL MATERIALS          "|"1"|"85.57"|"0.00"|"7.75"|"0.00"
"PO"|"1"|"1-13071068"|"1"|"50919"|"FERGUSON ENTERPRISES INC"|"3/12/2013 12:00:00 AM"|"1"|"  1637-001"|"PCC-MECH"|"PLUMBING MATERIALS            "|"1"|"2351.14"|"0.00"|"2534.86"|"0.00"
"PO"|"1"|"1-13071126"|"1"|"53855"|"CONVERGINT TECHNOLOGIES"|"3/12/2013 12:00:00 AM"|"1"|" 11437-001"|"The Tower at Centenn"|"SUBCONTRACTS                  "|"1"|"2722.00"|"0.00"|"680.50"|"0.00"
"PO"|"1"|"1-13072050"|"1"|"54902"|"RK SERVICES"|"3/13/2013 12:00:00 AM"|"1"|" 11396-001"|"Bed Bath Beyond #68"|"SUBCONTRACTS                  "|"1"|"3340.00"|"0.00"|"468.75"|"0.00"
"PO"|"1"|"1-13072128"|"1"|"53030"|"WILLAMETTE PRINT CO"|"3/13/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"MISC ITEMS                    "|"1"|"19349.55"|"0.00"|"1670.69"|"0.00"
