"RecordType"|"Company"|"Number"|"VendorGroup"|"Vendor"|"VendorName"|"TransactionDate"|"JCCo"|"Job"|"JobDescription"|"Description"|"DetailLineCount"|"TotalOrigCost"|"TotalOrigTax"|"RemainingAmount"|"RemainingTax"
"PO"|"1"|"1-12180109"|"1"|"52730"|"TANDEM PRODUCTS INC"|"6/28/2012 12:00:00 AM"|"1"|" 11054-001"|"PCC-MECH"|"EQUIPMENT                     "|"1"|"5108.03"|"0.00"|"3191.75"|"0.00"
"PO"|"1"|"1-12187046"|"1"|"51115"|"GRAYBAR ELECTRIC"|"7/5/2012 12:00:00 AM"|"1"|" 11063-001"|"BOEING BLD 7-107"|"ELECTRICAL MATERIALS          "|"1"|"537.30"|"0.00"|"130.30"|"0.00"
"PO"|"1"|"1-12187063"|"1"|"51115"|"GRAYBAR ELECTRIC"|"7/5/2012 12:00:00 AM"|"1"|" 11063-001"|"BOEING BLD 7-107"|"ELECTRICAL MATERIALS          "|"1"|"251.38"|"0.00"|"28.00"|"0.00"
"PO"|"1"|"1-12194138"|"1"|"52401"|"JT RYERSON & SON INC"|"7/12/2012 12:00:00 AM"|"1"|" 10379-001"|"IRIS-PH1 CLOSE OUT"|"SM PRODUCTION MATERIALS       "|"1"|"2702.85"|"0.00"|"2503.39"|"0.00"
"PO"|"1"|"1-12194211"|"1"|"51969"|"NORTH COAST ELECTRIC CO"|"7/12/2012 12:00:00 AM"|"1"|" 11063-001"|"BOEING BLD 7-107"|"ELECTRICAL MATERIALS          "|"1"|"27.78"|"0.00"|"27.78"|"0.00"
"PO"|"1"|"1-12198178"|"1"|"51969"|"NORTH COAST ELECTRIC CO"|"7/16/2012 12:00:00 AM"|"1"|" 11063-001"|"BOEING BLD 7-107"|"ELECTRICAL MATERIALS          "|"1"|"526.55"|"0.00"|"167.49"|"0.00"
"PO"|"1"|"1-12200151"|"1"|"52094"|"PACIFIC WELDING LLC"|"7/18/2012 12:00:00 AM"|"1"|" 11057-001"|"2020 5TH AVE DC"|"RENTALS                       "|"1"|"5518.45"|"0.00"|"330.23"|"0.00"
"PO"|"1"|"1-12228080"|"1"|"54833"|"NOTIFACT, LLC"|"8/15/2012 12:00:00 AM"|"1"|" 84779-001"|"Cardiac Science"|"MISC ITEMS                    "|"1"|"100.00"|"0.00"|"62.00"|"0.00"
"PO"|"1"|"1-12229118"|"1"|"55182"|"SOUND WATER TREATMENT"|"8/16/2012 12:00:00 AM"|"1"|" 84790-001"|"KORRY ELECTRONICS"|"MISC ITEMS                    "|"1"|"2526.00"|"0.00"|"210.50"|"0.00"
"PO"|"1"|"1-12250105"|"1"|"50919"|"FERGUSON ENTERPRISES INC"|"9/6/2012 12:00:00 AM"|"1"|" 11060-001"|"WESTLAND DIST-M&E"|"PLUMBING MATERIALS            "|"1"|"3414.75"|"0.00"|"23.08"|"0.00"
"PO"|"1"|"1-12256140"|"1"|"50919"|"FERGUSON ENTERPRISES INC"|"9/12/2012 12:00:00 AM"|"1"|" 11060-001"|"WESTLAND DIST-M&E"|"PLUMBING MATERIALS            "|"1"|"459.31"|"0.00"|"52.46"|"0.00"
"PO"|"1"|"1-12258082"|"1"|"52094"|"PACIFIC WELDING LLC"|"9/14/2012 12:00:00 AM"|"1"|" 11057-001"|"2020 5TH AVE DC"|"RENTALS                       "|"1"|"3048.38"|"0.00"|"1208.72"|"0.00"
"PO"|"1"|"1-12258084"|"1"|"52094"|"PACIFIC WELDING LLC"|"9/14/2012 12:00:00 AM"|"1"|" 11057-001"|"2020 5TH AVE DC"|"RENTALS                       "|"1"|"3048.38"|"0.00"|"1208.72"|"0.00"
"PO"|"1"|"1-12264042"|"1"|"50650"|"CULLIGAN WATER COND"|"9/20/2012 12:00:00 AM"|"1"|" 14837-001"|"SEA CAP X 2012"|"WATER                         "|"1"|"150.00"|"0.00"|"150.00"|"0.00"
"PO"|"1"|"1-12265095"|"1"|"53106"|"WE-ESTES, RON"|"9/21/2012 12:00:00 AM"|"1"|" 11063-001"|"BOEING BLD 7-107"|"EQUIPMENT                     "|"1"|"860.43"|"0.00"|"860.43"|"0.00"
"PO"|"1"|"1-12270003"|"1"|"55182"|"SOUND WATER TREATMENT"|"9/26/2012 12:00:00 AM"|"1"|" 14835-001"|"SHOP LOGISTICS 2011"|"MISC ITEMS                    "|"1"|"821.25"|"0.00"|"821.25"|"0.00"
"PO"|"1"|"1-12284078"|"1"|"50158"|"APPLIED INDUSTRIAL TECH"|"10/10/2012 12:00:00 AM"|"1"|" 84791-001"|"T-Mobile Nexus Data"|"MASTER SUBCONTRACT            "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-12284080"|"1"|"50710"|"DELIVERY EXPRESS INC"|"10/10/2012 12:00:00 AM"|"1"|" 84791-001"|"T-Mobile Nexus Data"|"MISC ITEMS                    "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-12296099"|"1"|"55182"|"SOUND WATER TREATMENT"|"10/22/2012 12:00:00 AM"|"1"|" 84790-001"|"KORRY ELECTRONICS"|"MISC ITEMS                    "|"1"|"2526.00"|"0.00"|"2526.00"|"0.00"
"PO"|"1"|"1-12299181"|"1"|"52668"|"STONEWAY ELECTRIC SUPPLY"|"10/25/2012 12:00:00 AM"|"1"|" 14837-001"|"SEA CAP X 2012"|"ELECTRICAL MATERIALS          "|"1"|"1125.14"|"0.00"|"105.31"|"0.00"
"PO"|"1"|"1-12307057"|"1"|"52668"|"STONEWAY ELECTRIC SUPPLY"|"11/2/2012 12:00:00 AM"|"1"|" 14837-001"|"SEA CAP X 2012"|"ELECTRICAL MATERIALS          "|"1"|"597.52"|"0.00"|"0.29"|"0.00"
"PO"|"1"|"1-12325069"|"1"|"50920"|"FERGUSON FIRE & FAB #720"|"11/20/2012 12:00:00 AM"|"1"|" 11060-001"|"WESTLAND DIST-M&E"|"PIPING MATERIALS              "|"1"|"713.65"|"0.00"|"41.10"|"0.00"
"PO"|"1"|"1-12331047"|"1"|"52361"|"RODDA PAINT"|"11/26/2012 12:00:00 AM"|"1"|" 11063-001"|"BOEING BLD 7-107"|"PIPING MATERIALS              "|"1"|"388.74"|"0.00"|"314.40"|"0.00"
"PO"|"1"|"1-12334106"|"1"|"52668"|"STONEWAY ELECTRIC SUPPLY"|"11/29/2012 12:00:00 AM"|"1"|" 14837-001"|"SEA CAP X 2012"|"ELECTRICAL MATERIALS          "|"1"|"312.16"|"0.00"|"16.46"|"0.00"
"PO"|"1"|"1-12338109"|"1"|"52176"|"PLATT ELECTRIC SUPPLY INC"|"12/3/2012 12:00:00 AM"|"1"|" 11057-001"|"2020 5TH AVE DC"|"ELECTRICAL MATERIALS          "|"1"|"2669.07"|"0.00"|"65.43"|"0.00"
"PO"|"1"|"1-12346110"|"1"|"52473"|"SEAPORT PETROLEUM"|"12/11/2012 12:00:00 AM"|"1"|" 14826-001"|"MCKFM SEA HUB-PM"|"MISC ITEMS                    "|"1"|"300.00"|"0.00"|"21.63"|"0.00"
"PO"|"1"|"1-12352176"|"1"|"53690"|"CH2O INCORPORATED"|"12/17/2012 12:00:00 AM"|"1"|" 82917-001"|"EASTSIDE CATHOLIC HS"|"MISC ITEMS                    "|"1"|"1000.00"|"0.00"|"230.00"|"0.00"
"PO"|"1"|"1-12352177"|"1"|"55062"|"R&T HOOD & DUCT SVCS INC"|"12/17/2012 12:00:00 AM"|"1"|" 82917-001"|"EASTSIDE CATHOLIC HS"|"MISC ITEMS                    "|"1"|"2171.60"|"0.00"|"398.78"|"0.00"
"PO"|"1"|"1-12361101"|"1"|"50919"|"FERGUSON ENTERPRISES INC"|"12/26/2012 12:00:00 AM"|"1"|" 10123-001"|"UW MED PH 3.1"|"PLUMBING MATERIALS            "|"1"|"781.89"|"0.00"|"329.77"|"0.00"
"PO"|"1"|"1-13001014"|"1"|"50044"|"ACME CONSTRUCTION SUPPLY"|"1/1/2013 12:00:00 AM"|"1"|" 10517-001"|"FAMILY CARE TI"|"SM FIELD MATERIALS            "|"1"|"66.42"|"0.00"|"66.42"|"0.00"
"PO"|"1"|"1-13004004"|"1"|"51235"|"RYAN HERCO FLOW SOLUTIONS"|"1/4/2013 12:00:00 AM"|"1"|" 10123-001"|"UW MED PH 3.1"|"PLUMBING MATERIALS            "|"1"|"27.40"|"0.00"|"27.40"|"0.00"
"PO"|"1"|"1-13004124"|"1"|"55182"|"SOUND WATER TREATMENT"|"1/4/2013 12:00:00 AM"|"1"|" 82945-001"|"Commerce Parkview"|"MISC ITEMS                    "|"1"|"1500.00"|"0.00"|"125.00"|"0.00"
"PO"|"1"|"1-13014086"|"1"|"51451"|"KELLER SUPPLY COMPANY"|"1/14/2013 12:00:00 AM"|"1"|" 10123-001"|"UW MED PH 3.1"|"PLUMBING MATERIALS            "|"1"|"543.38"|"0.00"|"543.38"|"0.00"
"PO"|"1"|"1-13018004"|"1"|"55668"|"FOOD SVCS EQUIP REPAIR"|"1/18/2013 12:00:00 AM"|"1"|" 14822-001"|"MCKFM FIRESIDE GRILL"|"MISC ITEMS                    "|"1"|"200.00"|"0.00"|"200.00"|"0.00"
"PO"|"1"|"1-13021155"|"1"|"50710"|"DELIVERY EXPRESS INC"|"1/21/2013 12:00:00 AM"|"1"|" 84790-001"|"KORRY ELECTRONICS"|"HVAC MATERIALS                "|"1"|"163.73"|"0.00"|"19.24"|"0.00"
"PO"|"1"|"1-13023026"|"1"|"50044"|"ACME CONSTRUCTION SUPPLY"|"1/23/2013 12:00:00 AM"|"1"|" 10390-001"|"PCC SYLVANIA AM"|"SM FIELD MATERIALS            "|"1"|"302.20"|"0.00"|"59.63"|"0.00"
"PO"|"1"|"1-13030022"|"1"|"52466"|"SEATTLE GALVANIZING CO IN"|"1/30/2013 12:00:00 AM"|"1"|" 10123-001"|"UW MED PH 3.1"|"SM FIELD MATERIALS            "|"1"|"316.14"|"0.00"|"316.14"|"0.00"
"PO"|"1"|"1-13038082"|"1"|"52059"|"OXARC INC"|"2/7/2013 12:00:00 AM"|"1"|" 10268-001"|"WALLA WALLA VA STEAM"|"RENTALS                       "|"1"|"4426.38"|"0.00"|"7.51"|"0.00"
"PO"|"1"|"1-13039132"|"1"|"52648"|"STAR RENTALS"|"2/8/2013 12:00:00 AM"|"1"|" 14835-001"|"SHOP LOGISTICS 2011"|"RENTALS                       "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13042130"|"1"|"51969"|"NORTH COAST ELECTRIC CO"|"2/11/2013 12:00:00 AM"|"1"|" 14835-001"|"SHOP LOGISTICS 2011"|"ELECTRICAL MATERIALS          "|"1"|"530.00"|"0.00"|"530.00"|"0.00"
"PO"|"1"|"1-13045038"|"1"|"54153"|"ALEXANDER GOW FIRE EQUIP"|"2/14/2013 12:00:00 AM"|"1"|" 83054-001"|"BGCKC - Renton"|"SUBCONTRACTS                  "|"1"|"89.00"|"0.00"|"89.00"|"0.00"
"PO"|"1"|"1-13045111"|"1"|"51910"|"NATIONAL SAFETY, INC."|"2/14/2013 12:00:00 AM"|"1"|" 84830-001"|"T-Mobile Nexus"|"MISC ITEMS                    "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13045147"|"1"|"54833"|"NOTIFACT, LLC"|"2/14/2013 12:00:00 AM"|"1"|" 83068-001"|"Panasonic Service"|"SUBCONTRACTS                  "|"1"|"300.00"|"0.00"|"40.00"|"0.00"
"PO"|"1"|"1-13046023"|"1"|"50710"|"DELIVERY EXPRESS INC"|"2/15/2013 12:00:00 AM"|"1"|" 82924-001"|"UNIVERSAL AVIONICS"|"MISC ITEMS                    "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13046110"|"1"|"51105"|"GRAINGER INC"|"2/15/2013 12:00:00 AM"|"1"|" 82945-001"|"Commerce Parkview"|"HVAC MATERIALS                "|"1"|"10.76"|"0.00"|"0.60"|"0.00"
"PO"|"1"|"1-13049042"|"1"|"52797"|"TOTAL FILTRATION SERVICES"|"2/18/2013 12:00:00 AM"|"1"|" 83031-001"|"LA FITNESS - REDONDO"|"MISC ITEMS                    "|"1"|"179.55"|"0.00"|"179.55"|"0.00"
"PO"|"1"|"1-13053047"|"1"|"55357"|"US WATER SERVICES INC"|"2/22/2013 12:00:00 AM"|"1"|" 83116-001"|"Bear Creek Business"|"MISC ITEMS                    "|"1"|"3400.00"|"0.00"|"0.04"|"0.00"
"PO"|"1"|"1-13053110"|"1"|"52797"|"TOTAL FILTRATION SERVICES"|"2/22/2013 12:00:00 AM"|"1"|" 83017-001"|"Rexam"|"HVAC MATERIALS                "|"1"|"89.44"|"0.00"|"31.97"|"0.00"
"PO"|"1"|"1-13057093"|"1"|"52797"|"TOTAL FILTRATION SERVICES"|"2/26/2013 12:00:00 AM"|"1"|" 83017-001"|"Rexam"|"HVAC MATERIALS                "|"1"|"935.50"|"0.00"|"470.97"|"0.00"
"PO"|"1"|"1-13058019"|"1"|"50867"|"COMMERCIAL FILTER SALES"|"2/27/2013 12:00:00 AM"|"1"|" 83033-001"|"LA FITNESS"|"MISC ITEMS                    "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13058094"|"1"|"54566"|"METAL MASTERS INC"|"2/27/2013 12:00:00 AM"|"1"|" 83125-001"|"Big Lots #4512"|"SUBCONTRACTS                  "|"1"|"2232.00"|"0.00"|"44.00"|"0.00"
"PO"|"1"|"1-13059078"|"1"|"52497"|"SEATTLE FLUID SYSTEM TECH"|"2/28/2013 12:00:00 AM"|"1"|" 10123-001"|"UW MED PH 3.1"|"PLUMBING MATERIALS            "|"1"|"5.36"|"0.00"|"5.36"|"0.00"
"PO"|"1"|"1-13070032"|"1"|"52648"|"STAR RENTALS"|"3/11/2013 12:00:00 AM"|"1"|" 11297-001"|"PO#0130582"|"RENTALS                       "|"1"|"469.10"|"0.00"|"156.37"|"0.00"
"PO"|"1"|"1-13070036"|"1"|"52668"|"STONEWAY ELECTRIC SUPPLY"|"3/11/2013 12:00:00 AM"|"1"|" 14822-001"|"MCKFM FIRESIDE GRILL"|"ELECTRICAL MATERIALS          "|"1"|"85.57"|"0.00"|"7.75"|"0.00"
"PO"|"1"|"1-13071068"|"1"|"50919"|"FERGUSON ENTERPRISES INC"|"3/12/2013 12:00:00 AM"|"1"|" 11054-001"|"PCC-MECH"|"PLUMBING MATERIALS            "|"1"|"2351.14"|"0.00"|"2534.86"|"0.00"
"PO"|"1"|"1-13073044"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"3/14/2013 12:00:00 AM"|"1"|" 11071-001"|"INTEL RA4"|"RENTALS                       "|"1"|"1479.00"|"0.00"|"447.70"|"0.00"
"PO"|"1"|"1-13073129"|"1"|"50867"|"COMMERCIAL FILTER SALES"|"3/14/2013 12:00:00 AM"|"1"|" 83209-001"|"Polyclinic"|"MISC ITEMS                    "|"1"|"51.60"|"0.00"|"51.60"|"0.00"
"PO"|"1"|"1-13073159"|"1"|"52543"|"SIERRA SPRINGS"|"3/14/2013 12:00:00 AM"|"1"|" 11071-001"|"INTEL RA4"|"RENTALS                       "|"1"|"2001.52"|"0.00"|"115.64"|"0.00"
"PO"|"1"|"1-13079048"|"1"|"50919"|"FERGUSON ENTERPRISES INC"|"3/20/2013 12:00:00 AM"|"1"|" 10960-001"|"SWAUK MAINTENANCE"|"PLUMBING MATERIALS            "|"1"|"61.70"|"0.00"|"61.70"|"0.00"
"PO"|"1"|"1-13079081"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"3/20/2013 12:00:00 AM"|"1"|" 11071-001"|"INTEL RA4"|"RENTALS                       "|"1"|"840.50"|"0.00"|"99.25"|"0.00"
"PO"|"1"|"1-13079091"|"1"|"52648"|"STAR RENTALS"|"3/20/2013 12:00:00 AM"|"1"|" 10144-001"|"MS B33 EXEC BRIEF"|"RENTALS                       "|"1"|"624.15"|"0.00"|"301.11"|"0.00"
"PO"|"1"|"1-13080010"|"1"|"54153"|"ALEXANDER GOW FIRE EQUIP"|"3/21/2013 12:00:00 AM"|"1"|" 83252-001"|"Moda Apartments"|"SUBCONTRACTS                  "|"1"|"510.00"|"0.00"|"510.00"|"0.00"
"PO"|"1"|"1-13085114"|"1"|"50367"|"BUILDERS HARDWARE SUPPLY"|"3/26/2013 12:00:00 AM"|"1"|" 14831-001"|"SEA INNOV FMS 2013"|"MISC ITEMS                    "|"1"|"500.00"|"0.00"|"435.01"|"0.00"
"PO"|"1"|"1-13086052"|"1"|"54623"|"MASCOTT EQUIPMENT CO"|"3/27/2013 12:00:00 AM"|"1"|" 84956-001"|"TMobile Nexus Data"|"MISC ITEMS                    "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13092087"|"1"|"51847"|"MORIN CORPORATION"|"4/2/2013 12:00:00 AM"|"1"|" 10398-001"|"INTEL RA-J06"|"SM FIELD MATERIALS            "|"1"|"411.80"|"0.00"|"411.80"|"0.00"
"PO"|"1"|"1-13093020"|"1"|"51052"|"GENSCO INC"|"4/3/2013 12:00:00 AM"|"1"|" 11095-001"|"PO# NTP"|"SM FIELD MATERIALS            "|"1"|"300.62"|"0.00"|"26.56"|"0.00"
"PO"|"1"|"1-13094064"|"1"|"55182"|"SOUND WATER TREATMENT"|"4/4/2013 12:00:00 AM"|"1"|" 83272-001"|"Kent Station"|"SUBCONTRACTS                  "|"1"|"1485.00"|"0.00"|"165.00"|"0.00"
"PO"|"1"|"1-13095144"|"1"|"54105"|"FIRE PROTECTION SPECIALIS"|"4/5/2013 12:00:00 AM"|"1"|" 85231-001"|"SPOKANE POLICE"|"SUBCONTRACTS                  "|"1"|"815.00"|"0.00"|"525.00"|"0.00"
"PO"|"1"|"1-13099011"|"1"|"52543"|"SIERRA SPRINGS"|"4/9/2013 12:00:00 AM"|"1"|" 10485-001"|"INTEL D1X MOD 2 HVAC"|"RENTALS                       "|"1"|"3534.21"|"0.00"|"341.58"|"0.00"
"PO"|"1"|"1-13099045"|"1"|"52648"|"STAR RENTALS"|"4/9/2013 12:00:00 AM"|"1"|" 11071-001"|"INTEL RA4"|"RENTALS                       "|"1"|"6950.98"|"0.00"|"197.47"|"0.00"
"PO"|"1"|"1-13101118"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|" 11071-001"|"INTEL RA4"|"RENTALS                       "|"1"|"9544.00"|"0.00"|"2814.00"|"0.00"
"PO"|"1"|"1-13101131"|"1"|"55182"|"SOUND WATER TREATMENT"|"4/11/2013 12:00:00 AM"|"1"|" 83314-001"|"Springhill Suites by"|"SUBCONTRACTS                  "|"1"|"1648.00"|"0.00"|"206.00"|"0.00"
"PO"|"1"|"1-13101135"|"1"|"50329"|"BRAND ENERGY SVCS LLC"|"4/11/2013 12:00:00 AM"|"1"|" 10396-001"|"INTEL RA E-10 C-04"|"RENTALS                       "|"1"|"4931.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13101141"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|" 11071-001"|"INTEL RA4"|"RENTALS                       "|"1"|"9544.00"|"0.00"|"2814.00"|"0.00"
"PO"|"1"|"1-13101149"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|" 11071-001"|"INTEL RA4"|"RENTALS                       "|"1"|"9544.00"|"0.00"|"3096.00"|"0.00"
"PO"|"1"|"1-13101169"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|" 11071-001"|"INTEL RA4"|"RENTALS                       "|"1"|"9544.00"|"0.00"|"3207.00"|"0.00"
"PO"|"1"|"1-13101173"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|" 11071-001"|"INTEL RA4"|"RENTALS                       "|"1"|"9544.00"|"0.00"|"1953.00"|"0.00"
"PO"|"1"|"1-13101177"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|" 11071-001"|"INTEL RA4"|"RENTALS                       "|"1"|"11787.00"|"0.00"|"4018.00"|"0.00"
"PO"|"1"|"1-13102089"|"1"|"55766"|"REALCHEM NORTHWEST INC"|"4/12/2013 12:00:00 AM"|"1"|" 83323-001"|"LWIT - Redmond"|"MISC ITEMS                    "|"1"|"450.00"|"0.00"|"450.00"|"0.00"
"PO"|"1"|"1-13105046"|"1"|"54873"|"OREGON MECHANICAL INC"|"4/15/2013 12:00:00 AM"|"1"|" 83338-001"|"Ross Dress for Less"|"SUBCONTRACTS                  "|"1"|"1882.00"|"0.00"|"470.50"|"0.00"
"PO"|"1"|"1-13109018"|"1"|"52648"|"STAR RENTALS"|"4/19/2013 12:00:00 AM"|"1"|" 10390-001"|"PCC SYLVANIA AM"|"RENTALS                       "|"1"|"180.00"|"0.00"|"90.00"|"0.00"
"PO"|"1"|"1-13112063"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/22/2013 12:00:00 AM"|"1"|" 10275-001"|"BPA MUNRO SCHEDULING"|"RENTALS                       "|"1"|"6482.27"|"0.00"|"664.60"|"0.00"
"PO"|"1"|"1-13112134"|"1"|"52176"|"PLATT ELECTRIC SUPPLY INC"|"4/22/2013 12:00:00 AM"|"1"|" 11104-001"|"NTP - Email"|"ELECTRICAL MATERIALS          "|"1"|"989.28"|"0.00"|"270.40"|"0.00"
"PO"|"1"|"1-13113078"|"1"|"51451"|"KELLER SUPPLY COMPANY"|"4/23/2013 12:00:00 AM"|"1"|" 11104-001"|"NTP - Email"|"PIPING MATERIALS              "|"1"|"1234.85"|"0.00"|"20.81"|"0.00"
"PO"|"1"|"1-13115040"|"1"|"50645"|"CULLIGAN WATER CO PNW"|"4/25/2013 12:00:00 AM"|"1"|" 10131-001"|"3400 STONE S&C"|"RENTALS                       "|"1"|"1103.79"|"0.00"|"41.86"|"0.00"
"PO"|"1"|"1-13119064"|"1"|"54153"|"ALEXANDER GOW FIRE EQUIP"|"4/29/2013 12:00:00 AM"|"1"|" 83365-001"|"On the Park"|"MISC ITEMS                    "|"1"|"351.00"|"0.00"|"351.00"|"0.00"
"PO"|"1"|"1-13119092"|"1"|"52875"|"UNITED REFRIGERATION, INC"|"4/29/2013 12:00:00 AM"|"1"|" 14822-001"|"MCKFM FIRESIDE GRILL"|"MISC ITEMS                    "|"1"|"44.97"|"0.00"|"89.94"|"0.00"
"PO"|"1"|"1-13122180"|"1"|"50645"|"CULLIGAN WATER CO PNW"|"5/2/2013 12:00:00 AM"|"1"|" 10275-001"|"BPA MUNRO SCHEDULING"|"RENTALS                       "|"1"|"343.23"|"0.00"|"65.44"|"0.00"
"PO"|"1"|"1-13126052"|"1"|"50233"|"BALDWIN SIGN CO"|"5/6/2013 12:00:00 AM"|"1"|" 14831-001"|"SEA INNOV FMS 2013"|"MISC ITEMS                    "|"1"|"3400.00"|"0.00"|"142.37"|"0.00"
"PO"|"1"|"1-13126091"|"1"|"52648"|"STAR RENTALS"|"5/6/2013 12:00:00 AM"|"1"|" 11111-001"|"PO# IGQ-40099"|"RENTALS                       "|"1"|"2301.72"|"0.00"|"35.82"|"0.00"
