"Company"|"InvoiceNumber"|"CustGroup"|"Customer"|"CustomerName"|"TransactionDate"|"InvoiceDescription"|"DetailLineCount"|"AmountDue"|"OriginalAmount"|"Tax"
"101"|"     19263"|"101"|"214645"|"SABEY CONSTRUCTION       "|"8/19/2013 12:00:00 AM"|"RETENTION           "|"2"|"156520.00"|"0.00"|"0.00"
"101"|"     19264"|"101"|"214645"|"SABEY CONSTRUCTION       "|"8/19/2013 12:00:00 AM"|"RETENTION           "|"2"|"17920.50"|"0.00"|"0.00"
"101"|"     19265"|"101"|"214645"|"SABEY CONSTRUCTION       "|"8/19/2013 12:00:00 AM"|"RETENTION           "|"2"|"6595.00"|"0.00"|"0.00"
"101"|"     19271"|"101"|"216402"|"Swinerton Builders       "|"8/28/2013 12:00:00 AM"|"RETENTION BILLING   "|"2"|"16873.40"|"0.00"|"0.00"
"101"|"     19323"|"101"|"204854"|"Davis Schueller Inc      "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"21489.00"|"21489.00"|"0.00"
"101"|"     19325"|"101"|"216402"|"Swinerton Builders       "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1861.00"|"1861.00"|"0.00"
"101"|"     19326"|"101"|"214171"|"Rafn Construction        "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"6066.00"|"6066.00"|"0.00"
"101"|"     19327"|"101"|"208363"|"JMS CONSTRUCTION CO      "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1129.00"|"1129.00"|"0.00"
"101"|"     19329"|"101"|"208266"|"JE CUMMING CORPORATION   "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"8381.00"|"8381.00"|"0.00"
"101"|"     19330"|"101"|"217373"|"Turner Construction      "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1300.00"|"1300.00"|"0.00"
"101"|"     19331"|"101"|"216007"|"Southside Church of Chris"|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"2517.41"|"2517.41"|"0.00"
"101"|"     19332"|"101"|"206834"|"Gateway Construction     "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1218.00"|"1218.00"|"0.00"
"101"|"     19333"|"101"|"214171"|"Rafn Construction        "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1800.00"|"1800.00"|"0.00"
"101"|"     19334"|"101"|"212615"|"PATRICK H. BODEN INC.    "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"4543.00"|"4543.00"|"0.00"
"101"|"     19335"|"101"|"208266"|"JE CUMMING CORPORATION   "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"2187.00"|"2187.00"|"0.00"
"101"|"     19336"|"101"|"208266"|"JE CUMMING CORPORATION   "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1114.00"|"1114.00"|"0.00"
"101"|"     19337"|"101"|"208363"|"JMS CONSTRUCTION CO      "|"8/26/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"2858.00"|"2858.00"|"0.00"
"101"|"     19417"|"101"|"217373"|"Turner Construction      "|"8/27/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"5227.00"|"5227.00"|"0.00"
"101"|"     19483"|"101"|"208500"|"JR Abbott Construction   "|"8/27/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1549.25"|"1549.25"|"0.00"
"101"|"     19590"|"101"|"204157"|"Convergint Technologies  "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"6021.00"|"6021.00"|"0.00"
"101"|"     19593"|"101"|"206690"|"GRAMOR DEVELOPMENT       "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"2614.66"|"2614.66"|"0.00"
"101"|"     19594"|"101"|"215056"|"SK Food Group            "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"11732.93"|"11732.93"|"0.00"
"101"|"     19595"|"101"|"202534"|"Brown & Haley            "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"3620.07"|"3620.07"|"0.00"
"101"|"     19596"|"101"|"217611"|"Unionbay Investors       "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"1801.28"|"1801.28"|"0.00"
"101"|"     19597"|"101"|"201475"|"BAY VISTA                "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"1384.08"|"1384.08"|"0.00"
